Abasia	Inability to coordinate muscular actions properly in walking.
Abgeordnetenhaus	See Legislature, Austria, Prussia.
Abra	A narrow pass or defile; a break in a mesa; the mouth of a ca–on.
Abreaction	See Catharsis, below.
Acclamation	In parliamentary usage, the act or method of voting orally and by groups rather than by ballot, esp. in elections;
Acclamation	the election of a pope or other ecclesiastic by unanimous consent of the electors, without a ballot.
Ace	A single point won by a stroke, as in handball, rackets, etc.; in tennis, frequently, a point won by a service stroke.
Acequia	A canal or trench for irrigating land.
Acetol	Methyl ketol; also, any of various homologues of the same.
Acetonaemia	Alt. of -nemia
-nemia	A morbid condition characterized by the presence of acetone in the blood, as in diabetes.
Acetonuria	Excess of acetone in the urine, as in starvation or diabetes.
Acetophenone	A crystalline ketone, CH3COC6H5, which may be obtained by the dry distillation of a mixture of the calcium salts of acetic and benzoic acids. It is used as a hypnotic under the name of hypnone.
A cheval	Astride; with a part on each side; -- used specif. in designating the position of an army with the wings separated by some line of demarcation, as a river or road.
Achromatous	Lacking, or deficient in, color; as, achromatous blood.
Achromic	Free from color; colorless; as, in Physiol. Chem., the achromic point of a starch solution acted upon by an amylolytic enzyme is the point at which it fails to give any color with iodine.
Acid process	That variety of either the Bessemer or the open-hearth process in which the converter or hearth is lined with acid, that is, highly siliceous, material. Opposed to basic process.
Aconitic	Pert. to or designating a crystalline tribasic acid, /, obtained from aconite and other plants. It is a carboxyl derivative of itaconic acid.
Actinogram	A record made by the actinograph.
Actinomycosis	A chronic infectious disease of cattle and man due to the presence of Actinomyces bovis. It causes local suppurating tumors, esp. about the jaw. Called also lumpy jaw or big jaw.
Actinophone	An apparatus for the production of sound by the action of the actinic, or ultraviolet, rays.
Actinophonic	Pertaining to, or causing the production of, sound by means of the actinic, or ultraviolet, rays; as, actinophonic phenomena.
Acutorsion	The twisting of an artery with a needle to arrest hemorrhage.
Acyclic	Not cyclic; not disposed in cycles or whorls
Acyclic	Of a flower, having its parts inserted spirally on the receptacle.
Acyclic	Having an open-chain structure; aliphatic.
Acyl	An acid radical, as acetyl, malonyl, or benzoyl.
Adenoid	A swelling produced by overgrowth of the adenoid tissue in the roof of the pharynx; -- usually in pl.
-mata	of Adenoma
Adenoma	A benign tumor of a glandlike structure; morbid enlargement of a gland.
Adenopathy	Disease of a gland.
Adenosclerosis	The hardening of a gland.
Aden ulcer	A disease endemic in various parts of tropical Asia, due to a specific microorganism which produces chronic ulcers on the limbs. It is often fatal. Called also Cochin China ulcer, Persian ulcer, tropical ulcer, etc.
Adios	Adieu; farewell; good-by; -- chiefly used among Spanish-speaking people.
Adipogenous	Producing fat.
Adipolysis	The digestion of fats.
Adipolytic	Hydrolyzing fats; converting neutral fats into glycerin and free fatty acids, esp. by the action of an enzyme; as, adipolytic action.
-mata	of Adipoma
Adipoma	A mass of fat found internally; also, a fatty tumor.
Adipose	The fat present in the cells of adipose tissue, composed mainly of varying mixtures of tripalmitin, tristearin, and triolein. It solidifies after death.
Adjusting plane	Alt. of surface
surface	A small plane or surface, usually capable of adjustment but not of manipulation, for preserving lateral balance in an aeroplane or flying machine.
Admittance	The reciprocal of impedance.
Adobe	Earth from which unburnt bricks are made.
Adobe	Alluvial and playa clays of desert and arid regions, differing from ordinary clays of humid regions in containing carbonates and other soluble minerals.
Adonai	A Hebrew name for God, usually translated in the Old Testament by the word "Lord".
Adrenaline	Alt. of Adrenalin
Adrenalin	A crystalline substance, C9H13O3N, obtained from suprarenal extract, of which it is regarded as the active principle. It is used in medicine as a stimulant and hemostatic.
Adsuki bean	A cultivated variety of the Asiatic gram, now introduced into the United States.
Adurol	Either of two compounds, a chlorine derivative and bromine derivative, of hydroquinone, used as developers.
Advancing edge	The front edge (in direction of motion) of a supporting surface; -- contr. with following edge, which is the rear edge.
Advancing surface	The first of two or more surfaces arranged in tandem; -- contr. with following surface, which is the rear surface.
Aeolic	Pertaining to, caused by, or designating, the action of the wind in modifiying the earth's surface; as, aeolic erosion; aeolic sand.
Aerator	That which supplies with air or gas
Aerator	An apparatus used for charging mineral waters with gas and in making soda water.
Aerator	A fumigator used to bleach grain, destroying fungi and insects.
Aerenchym	Alt. of Aerenchyma
Aerenchyma	A secondary respiratory tissue or modified periderm, found in many aquatic plants and distinguished by the large intercellular spaces.
Aerial railway	A stretched wire or rope elevated above the ground and forming a way along which a trolley may travel, for conveying a load suspended from the trolley.
Aerial railway	An elevated cableway.
