A- 	not, without
Aa	automobile association.
Aa	alcoholics anonymous.
Aa	anti-aircraft.
Aardvark	Mammal with a tubular snout and a long tongue, feeding on termites.
Ab- 	off, away, from
Abacus	frame with wires along which beads are slid for calculating.
Abacus	archit. Flat slab on top of a capital.
Abaft	In the stern half of a ship.
Abaft	Nearer the stern than.
Abandon	give up.
Abandon	forsake, desert.
Abandon	Yield to a passion, another's control, etc.
Abandon	Freedom from inhibitions.
Abandoned	deserted, forsaken.
Abandoned	unrestrained, profligate.
Abase	Humiliate, degrade.
Abashed	Embarrassed, disconcerted.
Abate	make or become less strong etc.; diminish.
Abattoir	Slaughterhouse.
Abbacy	office or jurisdiction of an abbot or abbess.
Abbé	abbot or priest.
Abbess	Head of a community of nuns.
Abbey	building
Abbey	occupied by a community of monks or nuns.
Abbey	the community itself.
Abbey	building that was once an abbey.
Abbot	Head of a community of monks.
Abbreviate	shorten, esp. Represent
Abbreviate	By a part of it.
Abc	the alphabet.
Abc	rudiments of a subject.
Abc	alphabetical guide.
Abdicate	Give up or renounce
Abdicate	renounce
Abdomen	the belly, including the stomach, bowels, etc.
Abdomen	the hinder part of an insect etc.
Abduct	Carry off or kidnap illegally.
Abduct	Abductor
Abeam	At right angles to a ship's or an aircraft's length.
Aberdeen angus	Animal of a scottish breed of hornless black cattle.
Aberdonian	Of aberdeen.
Aberdonian	Native or citizen of aberdeen.
Aberrant	Deviating from what is normal or accepted.
Aberration	aberrant behaviour; moral or mental lapse.
Aberration	biol. Deviation from a normal type.
Aberration	distortion of an image because of a defect in a lens or mirror.
Aberration	astron. Apparent displacement of a celestial body.
Abet	encourage or assist
Abeyance	temporary disuse.
Abhor	detest; regard with disgust. [latin: related to *horror
Abhorrence	Disgust; detestation.
Abhorrent	disgusting or hateful.
Abide	Tolerate, endure
Abide	a act in accordance with
Abide	keep
Abide	remain, continue.
Abiding	Enduring, permanent.
Ability	Capacity or power.
Ability	cleverness, talent.
-ability	forming nouns of quality from, or corresponding to, adjectives in -able.
Ab initio	From the beginning.
Abject	Miserable, wretched; degraded; despicable.
Abjure	renounce on oath
Ablative	Case
Ablative	of nouns and pronouns indicating an agent, instrument, or location.
Ablative	Of or in the ablative.
Ablaze	on fire.
Ablaze	glittering, glowing.
Ablaze	greatly excited.
Able	having the capacity or power
Able	talented, clever.
-able	forming adjectives meaning:
-able	that may or must be
-able	that can be made the subject of
-able	relevant to or in accordance with
Able-bodied	Fit, healthy.
Able-bodied seaman	Ordinary trained seaman.
Ablution	(usu. In
Ablution	ceremonial washing of the hands, sacred vessels, etc.
Ablution	ordinary bodily washing.
Ablution	place for this.
-ably	forming adverbs corresponding to adjectives in -able.
Abm	Anti-ballistic missile.
Abnegate	give up or renounce
Abnegation	Denial; renunciation of a doctrine.
Abnormal	Deviating from the norm; exceptional.
Abnormal	. Abnormally
Abo	austral.
Abo	usu. Offens.
Abo	aboriginal.
Abo	Aboriginal.
Aboard	On or into
Abode1	Dwelling-place.
Abolish	Put an end to (esp.
Abolish	custom or institution).
Abolition	Abolishing or being abolished.
Abominable	detestable, loathsome.
Abominable	Very unpleasant
Abominable snowman	Supposed manlike or bearlike himalayan animal; yeti.
Abominate	detest, loathe.
